number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update
31,dublin,PARNELL STREET,Parnell Street,"{'lat': 53.350929, 'lng': -6.265125}",False,False,20,13,7,OPEN,1740048570000
98,dublin,FREDERICK STREET SOUTH,Frederick Street South,"{'lat': 53.341515, 'lng': -6.256853}",False,False,40,28,12,OPEN,1740048667000
14,dublin,FOWNES STREET UPPER,Fownes Street Upper,"{'lat': 53.344603, 'lng': -6.263371}",False,False,30,14,16,OPEN,1740048338000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.340927, 'lng': -6.262501}",False,False,31,11,20,OPEN,1740048794000
23,dublin,CUSTOM HOUSE,Custom House,"{'lat': 53.348279, 'lng': -6.254662}",False,False,30,13,17,OPEN,1740048841000
106,dublin,RATHDOWN ROAD,Rathdown Road,"{'lat': 53.35893, 'lng': -6.280337}",False,False,40,34,6,OPEN,1740048616000
112,dublin,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),"{'lat': 53.357841, 'lng': -6.251557}",False,False,30,15,15,OPEN,1740048576000
68,dublin,HANOVER QUAY,Hanover Quay,"{'lat': 53.344115, 'lng': -6.237153}",False,False,40,13,25,OPEN,1740048682000
74,dublin,OLIVER BOND STREET,Oliver Bond Street,"{'lat': 53.343893, 'lng': -6.280531}",False,False,30,11,19,OPEN,1740048826000
87,dublin,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,"{'lat': 53.347477, 'lng': -6.28525}",False,False,38,34,4,OPEN,1740048741000
84,dublin,BROOKFIELD ROAD,Brookfield Road,"{'lat': 53.339005, 'lng': -6.300217}",False,False,30,11,19,OPEN,1740048286000
90,dublin,BENSON STREET,Benson Street,"{'lat': 53.344153, 'lng': -6.233451}",False,False,40,14,26,OPEN,1740048871000
11,dublin,EARLSFORT TERRACE,Earlsfort Terrace,"{'lat': 53.334295, 'lng': -6.258503}",False,False,30,10,20,OPEN,1740048838000
17,dublin,GOLDEN LANE,Golden Lane,"{'lat': 53.340803, 'lng': -6.267732}",False,False,20,19,1,OPEN,1740048677000
45,dublin,DEVERELL PLACE,Deverell Place,"{'lat': 53.351464, 'lng': -6.255265}",False,False,30,12,18,OPEN,1740048816000
114,dublin,WILTON TERRACE (PARK),Wilton Terrace (Park),"{'lat': 53.333653, 'lng': -6.248345}",False,False,40,23,17,OPEN,1740048791000
72,dublin,JOHN STREET WEST,John Street West,"{'lat': 53.343105, 'lng': -6.277167}",False,False,31,30,1,OPEN,1740048769000
63,dublin,FENIAN STREET,Fenian Street,"{'lat': 53.341428, 'lng': -6.24672}",False,False,35,25,10,OPEN,1740048691000
113,dublin,MERRION SQUARE SOUTH,Merrion Square South,"{'lat': 53.338614, 'lng': -6.248606}",False,False,40,20,9,OPEN,1740048700000
91,dublin,SOUTH DOCK ROAD,South Dock Road,"{'lat': 53.341833, 'lng': -6.231291}",False,False,30,10,20,OPEN,1740048570000
99,dublin,CITY QUAY,City Quay,"{'lat': 53.346637, 'lng': -6.246154}",False,False,30,6,24,OPEN,1740048751000
9,dublin,EXCHEQUER STREET,Exchequer Street,"{'lat': 53.343034, 'lng': -6.263578}",False,False,24,6,18,OPEN,1740048776000
67,dublin,THE POINT,The Point,"{'lat': 53.346867, 'lng': -6.230852}",False,False,40,35,5,OPEN,1740048881000
116,dublin,BROADSTONE,Broadstone,"{'lat': 53.3547, 'lng': -6.272314}",False,False,30,24,6,OPEN,1740048709000
55,dublin,HATCH STREET,Hatch Street,"{'lat': 53.33403, 'lng': -6.260714}",False,False,36,11,25,OPEN,1740048828000
62,dublin,LIME STREET,Lime Street,"{'lat': 53.346026, 'lng': -6.243576}",False,False,40,5,35,OPEN,1740048746000
5,dublin,CHARLEMONT PLACE,Charlemont Street,"{'lat': 53.330662, 'lng': -6.260177}",False,False,40,32,8,OPEN,1740048799000
97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,"{'lat': 53.342113, 'lng': -6.310015}",False,False,40,25,15,OPEN,1740048857000
61,dublin,HARDWICKE PLACE,Hardwicke Place,"{'lat': 53.357043, 'lng': -6.263232}",False,False,25,4,21,OPEN,1740048769000
77,dublin,WOLFE TONE STREET,Wolfe Tone Street,"{'lat': 53.348875, 'lng': -6.267459}",False,False,29,27,2,OPEN,1740048671000
73,dublin,FRANCIS STREET,Francis Street,"{'lat': 53.342081, 'lng': -6.275233}",False,False,30,29,1,OPEN,1740048870000
4,dublin,GREEK STREET,Greek Street,"{'lat': 53.346874, 'lng': -6.272976}",False,False,20,16,4,OPEN,1740048424000
49,dublin,GUILD STREET,Guild Street,"{'lat': 53.347932, 'lng': -6.240928}",False,False,40,22,18,OPEN,1740048809000
19,dublin,HERBERT PLACE,Herbert Place,"{'lat': 53.334432, 'lng': -6.245575}",False,False,30,0,30,OPEN,1740048740000
7,dublin,HIGH STREET,High Street,"{'lat': 53.343565, 'lng': -6.275071}",False,False,29,23,6,OPEN,1740048879000
60,dublin,NORTH CIRCULAR ROAD,North Circular Road,"{'lat': 53.359624, 'lng': -6.260348}",False,False,30,23,7,OPEN,1740048873000
102,dublin,WESTERN WAY,Western Way,"{'lat': 53.354929, 'lng': -6.269425}",False,False,40,38,2,OPEN,1740048752000
38,dublin,TALBOT STREET,Talbot Street,"{'lat': 53.350974, 'lng': -6.25294}",False,False,40,14,25,OPEN,1740048810000
53,dublin,NEWMAN HOUSE,Newman House,"{'lat': 53.337132, 'lng': -6.26059}",False,False,40,26,14,OPEN,1740048779000
58,dublin,SIR PATRICK DUN'S,Sir Patrick's Dun,"{'lat': 53.339218, 'lng': -6.240642}",False,False,40,8,31,OPEN,1740048877000
66,dublin,NEW CENTRAL BANK,New Central Bank,"{'lat': 53.347122, 'lng': -6.234749}",False,False,40,25,15,OPEN,1740048764000
104,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),"{'lat': 53.355173, 'lng': -6.278424}",False,False,40,19,21,OPEN,1740048707000
101,dublin,KING STREET NORTH,King Street North,"{'lat': 53.350291, 'lng': -6.273507}",False,False,30,30,0,OPEN,1740048559000
