number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update
42,dublin,SMITHFIELD NORTH,Smithfield North,"{'lat': 53.349562, 'lng': -6.278198}",False,False,30,15,14,OPEN,1739869146000
30,dublin,PARNELL SQUARE NORTH,Parnell Square North,"{'lat': 53.3537415547453, 'lng': -6.26530144781526}",False,False,20,16,4,OPEN,1739868717000
54,dublin,CLONMEL STREET,Clonmel Street,"{'lat': 53.336021, 'lng': -6.26298}",False,False,33,24,8,OPEN,1739868985000
108,dublin,AVONDALE ROAD,Avondale Road,"{'lat': 53.359405, 'lng': -6.276142}",False,False,35,35,0,OPEN,1739869053000
20,dublin,JAMES STREET EAST,James Street East,"{'lat': 53.336597, 'lng': -6.248109}",False,False,30,0,30,OPEN,1739869183000
56,dublin,MOUNT STREET LOWER,Mount Street Lower,"{'lat': 53.33796, 'lng': -6.24153}",False,False,40,19,21,OPEN,1739869145000
6,dublin,CHRISTCHURCH PLACE,Christchurch Place,"{'lat': 53.343368, 'lng': -6.27012}",False,False,20,18,2,OPEN,1739868727000
18,dublin,GRANTHAM STREET,Grantham Street,"{'lat': 53.334123, 'lng': -6.265436}",False,False,30,30,0,OPEN,1739869078000
32,dublin,PEARSE STREET,Pearse Street,"{'lat': 53.344304, 'lng': -6.250427}",False,False,30,22,8,OPEN,1739869158000
52,dublin,YORK STREET EAST,York Street East,"{'lat': 53.338755, 'lng': -6.262003}",False,False,32,22,9,OPEN,1739868800000
48,dublin,EXCISE WALK,Excise Walk,"{'lat': 53.347777, 'lng': -6.244239}",False,False,40,21,18,OPEN,1739869035000
13,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,"{'lat': 53.336074, 'lng': -6.252825}",False,False,30,26,4,OPEN,1739868989000
43,dublin,PORTOBELLO ROAD,Portobello Road,"{'lat': 53.330091, 'lng': -6.268044}",False,False,30,30,0,OPEN,1739868766000
31,dublin,PARNELL STREET,Parnell Street,"{'lat': 53.350929, 'lng': -6.265125}",False,False,20,10,10,OPEN,1739869136000
98,dublin,FREDERICK STREET SOUTH,Frederick Street South,"{'lat': 53.341515, 'lng': -6.256853}",False,False,40,19,19,OPEN,1739868762000
14,dublin,FOWNES STREET UPPER,Fownes Street Upper,"{'lat': 53.344603, 'lng': -6.263371}",False,False,30,16,14,OPEN,1739869024000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.340927, 'lng': -6.262501}",False,False,31,28,1,OPEN,1739869189000
23,dublin,CUSTOM HOUSE,Custom House,"{'lat': 53.348279, 'lng': -6.254662}",False,False,30,28,2,OPEN,1739869178000
106,dublin,RATHDOWN ROAD,Rathdown Road,"{'lat': 53.35893, 'lng': -6.280337}",False,False,40,30,10,OPEN,1739869157000
112,dublin,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),"{'lat': 53.357841, 'lng': -6.251557}",False,False,30,30,0,OPEN,1739868871000
68,dublin,HANOVER QUAY,Hanover Quay,"{'lat': 53.344115, 'lng': -6.237153}",False,False,40,0,39,OPEN,1739868970000
74,dublin,OLIVER BOND STREET,Oliver Bond Street,"{'lat': 53.343893, 'lng': -6.280531}",False,False,30,22,7,OPEN,1739868827000
87,dublin,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,"{'lat': 53.347477, 'lng': -6.28525}",False,False,38,29,9,OPEN,1739869172000
84,dublin,BROOKFIELD ROAD,Brookfield Road,"{'lat': 53.339005, 'lng': -6.300217}",False,False,30,20,10,OPEN,1739869017000
90,dublin,BENSON STREET,Benson Street,"{'lat': 53.344153, 'lng': -6.233451}",False,False,40,0,40,OPEN,1739869136000
11,dublin,EARLSFORT TERRACE,Earlsfort Terrace,"{'lat': 53.334295, 'lng': -6.258503}",False,False,30,20,10,OPEN,1739869189000
17,dublin,GOLDEN LANE,Golden Lane,"{'lat': 53.340803, 'lng': -6.267732}",False,False,20,14,5,OPEN,1739868816000
45,dublin,DEVERELL PLACE,Deverell Place,"{'lat': 53.351464, 'lng': -6.255265}",False,False,30,26,4,OPEN,1739868928000
114,dublin,WILTON TERRACE (PARK),Wilton Terrace (Park),"{'lat': 53.333653, 'lng': -6.248345}",False,False,40,30,10,OPEN,1739869169000
72,dublin,JOHN STREET WEST,John Street West,"{'lat': 53.343105, 'lng': -6.277167}",False,False,31,29,2,OPEN,1739869174000
63,dublin,FENIAN STREET,Fenian Street,"{'lat': 53.341428, 'lng': -6.24672}",False,False,35,25,10,OPEN,1739868987000
113,dublin,MERRION SQUARE SOUTH,Merrion Square South,"{'lat': 53.338614, 'lng': -6.248606}",False,False,40,14,15,OPEN,1739868635000
91,dublin,SOUTH DOCK ROAD,South Dock Road,"{'lat': 53.341833, 'lng': -6.231291}",False,False,30,17,12,OPEN,1739869162000
99,dublin,CITY QUAY,City Quay,"{'lat': 53.346637, 'lng': -6.246154}",False,False,30,19,11,OPEN,1739869056000
9,dublin,EXCHEQUER STREET,Exchequer Street,"{'lat': 53.343034, 'lng': -6.263578}",False,False,24,18,6,OPEN,1739869131000
67,dublin,THE POINT,The Point,"{'lat': 53.346867, 'lng': -6.230852}",False,False,40,30,9,OPEN,1739869185000
116,dublin,BROADSTONE,Broadstone,"{'lat': 53.3547, 'lng': -6.272314}",False,False,30,28,2,OPEN,1739869178000
55,dublin,HATCH STREET,Hatch Street,"{'lat': 53.33403, 'lng': -6.260714}",False,False,36,24,12,OPEN,1739869139000
62,dublin,LIME STREET,Lime Street,"{'lat': 53.346026, 'lng': -6.243576}",False,False,40,14,26,OPEN,1739869189000
